Da­tum,Auf­ru­fe
2020-01-01,1607
2020-01-02,1773
2020-01-03,1567
2020-01-04,1800
2020-01-05,1950
2020-01-06,1708
2020-01-07,1719
2020-01-08,1592
2020-01-09,1609
2020-01-10,1864
2020-01-11,1395
2020-01-12,2034
2020-01-13,1813
2020-01-14,1863
2020-01-15,2035
2020-01-16,1960
2020-01-17,1992
2020-01-18,1832
2020-01-19,2198
2020-01-20,2149
2020-01-21,2259
2020-01-22,2334
2020-01-23,2263
2020-01-24,2089
2020-01-25,1936
2020-01-26,1893
2020-01-27,1880
2020-01-28,1902
2020-01-29,1896
2020-01-30,1864
2020-01-31,1809
2020-02-01,1901
2020-02-02,2010
2020-02-03,1926
2020-02-04,2110
2020-02-05,2134
2020-02-06,2582
2020-02-07,2498
2020-02-08,2096
2020-02-09,2387
2020-02-10,2319
2020-02-11,2686
2020-02-12,2591
2020-02-13,2545
2020-02-14,2219
2020-02-15,1788
2020-02-16,2027
2020-02-17,1980
2020-02-18,2148
2020-02-19,1979
2020-02-20,1820
2020-02-21,1384
2020-02-22,1125
2020-02-23,1295
2020-02-24,1324
2020-02-25,1354
2020-02-26,1280
2020-02-27,1800
2020-02-28,1372
2020-02-29,1227
2020-03-01,1338
2020-03-02,1527
2020-03-03,1429
2020-03-04,1592
2020-03-05,1640
2020-03-06,1432
2020-03-07,1230
2020-03-08,1274
2020-03-09,1677
2020-03-10,1623
2020-03-11,1527
2020-03-12,1485
2020-03-13,1267
2020-03-14,1280
2020-03-15,1372
2020-03-16,1267
2020-03-17,1276
2020-03-18,1182
2020-03-19,1179
2020-03-20,1191
2020-03-21,1107
2020-03-22,1077
2020-03-23,1046
2020-03-24,1043
2020-03-25,1217
2020-03-26,1047
2020-03-27,1363
2020-03-28,1078
2020-03-29,1392
2020-03-30,1611
2020-03-31,1290
2020-04-01,1327
2020-04-02,1179
2020-04-03,1185
2020-04-04,1158
2020-04-05,1321
2020-04-06,1231
2020-04-07,1151
2020-04-08,1096
2020-04-09,1035
2020-04-10,1172
2020-04-11,940
2020-04-12,1149
2020-04-13,1315
2020-04-14,1376
2020-04-15,1048
2020-04-16,935
2020-04-17,1017
2020-04-18,978
2020-04-19,1095
2020-04-20,1032
2020-04-21,1029
2020-04-22,1321
2020-04-23,1190
2020-04-24,966
2020-04-25,943
2020-04-26,1151
2020-04-27,923
2020-04-28,1245
2020-04-29,1303
2020-04-30,1063
2020-05-01,1178
2020-05-02,1105
2020-05-03,1135
2020-05-04,1077
2020-05-05,1231
2020-05-06,1145
2020-05-07,1178
2020-05-08,1073
2020-05-09,1140
2020-05-10,1182
2020-05-11,1109
2020-05-12,1111
2020-05-13,1330
2020-05-14,1203
2020-05-15,1124
2020-05-16,1008
2020-05-17,1013
2020-05-18,1188
2020-05-19,1081
2020-05-20,1217
2020-05-21,1096
2020-05-22,935
2020-05-23,1123
2020-05-24,1101
2020-05-25,1282
2020-05-26,1468
2020-05-27,938
2020-05-28,1209
2020-05-29,1213
2020-05-30,871
2020-05-31,969
