Vi­deo,Vi­deo­ti­tel,Ver­öf­fent­li­chungs­zeit­punkt des Vi­de­os,Auf­ru­fe,Wie­der­ga­be­zeit (Stun­den),Abon­nen­ten,Im­pres­sio­nen,Klick­ra­te der Im­pres­sio­nen (%)
Ge­samt,,,405712,7807.6061,730,3645609,6.27
50KfgObDrEI,WEIMA Maschinenbau Vampire 1300 Wood,"Aug 19, 2011",91116,1949.0412,204,867597,6.74
o_djbjZV7BU,WEIMA Maschinenbau Zerkleinerer / Hacker WL500 11kw Rundholzabschnitte,"Apr 6, 2011",10640,131.3513,18,59553,11.09
gPkk9jessdw,WEIMA wood pallets shredding,"Feb 17, 2014",9804,165.4588,12,68308,9.48
K7yNFy90l-M,"WEIMA plastic shredder Spider 1500 shreds BOPP film, cast film & lumps","Mar 13, 2015",9248,181.3149,31,73768,8.48
j7GyLn7KcKU,Pallets shredding & briquetting with WEIMA WLK 1500 & TH 1500 Duo,"Jul 28, 2016",8514,232.7074,13,56579,8.79
ZrzsOLhPXHs,WEIMA wood pallets shredding,"Nov 6, 2014",8088,146.6254,11,45482,10.48
ImB73sZ28SI,WEIMA WL 8 / Hammermühle / TH 1500 - wooden pallets recycling / wood briquetts production,"May 27, 2014",7080,226.1015,10,71413,6.02
wo4CbADq06s,WEIMA Brikettpresse TH 1500 brikettiert MDF Staub,"Jul 22, 2015",6545,84.2727,16,43699,9.52
whbVziaNpJc,WEIMA WL 1500 shreds waste wood shredding for heating,"Jan 13, 2017",6067,139.0545,8,38496,9.79
NgwyVDjr0A0,"""Made in Germany"" - Everyday Life at WEIMA","Mar 19, 2015",5579,89.0217,33,28548,13.01
WOGoRudmwwY,WEIMA Shredder WL 4 and Briquette Press TH 1500 - Aluminum Swarf (Metal Recycling),"May 9, 2014",5488,141.0783,17,39387,8.77
xRGzUCOEV5E,WEIMA WLK 1000 shreds textiles for recycling,"Dec 16, 2015",5315,66.4074,23,32350,10.87
4KBjVCNtyho,WEIMA WL 8 - textile shredding for recycling,"May 26, 2014",5185,81.2465,13,49548,6.58
siyBU8STR_g,WEIMA Shredder ZMK 50 shreds plastic cans shredding,"Sep 19, 2013",5176,65.629,15,41356,8.55
IOlybjc5auI,WEIMA briquette press TH 800 M compacts steel and aluminum,"Dec 1, 2014",4801,135.5957,10,25644,11.53
IQUNxVeWtK4,WEIMA Maschinenbau Vampire 1300 zerkleinert Holz Paletten in Sekunden,"Mar 20, 2012",3969,56.7269,5,18452,7.82
